Min Temperature,Max Temperature
100.00000000027192,149.55695180811637
100.0000000052911,177.44492795006872
100.00000005146063,197.26696292170013
100.00000033441945,213.15278729153152
100.00000163824063,226.68258341907574
100.0000064712037,238.6070648058807
100.0000215293651,249.34669194249918
100.00006221274096,259.16507915513034
100.00015978338762,268.24068900501436
100.00037134491954,276.7010978633192
100.00079223550667,284.64128318866705
100.00156984610142,292.13421905089547
100.00291748383833,299.23740994530635
100.00512679752848,305.997121527523
100.0085774636276,312.4512302135302
100.01374321423233,318.63120613643775
100.02119375970871,324.5635314899434
100.03159261406799,330.27073917337356
100.04569120097817,335.77218904797945
100.06431986990397,341.0846585343212
