Min Temperature,Max Temperature
100.00000000027191,149.55695180811628
100.00000000529108,177.44492795006863
100.00000005146062,197.26696292170007
100.00000033441947,213.15278729153144
100.00000163824062,226.6825834190757
100.00000647120366,238.60706480588078
100.000021529365,249.3466919424992
100.00006221274087,259.1650791551304
100.00015978338759,268.24068900501436
100.0003713449195,276.7010978633192
100.00079223550657,284.6412831886671
100.00156984610135,292.1342190508955
100.00291748383823,299.2374099453063
100.00512679752839,305.99712152752306
100.0085774636275,312.45123021353027
100.01374321423224,318.6312061364378
100.0211937597086,324.5635314899434
100.03159261406786,330.2707391733736
100.04569120097806,335.77218904797945
100.06431986990384,341.0846585343212
