Min Temperature,Max Temperature
100.00000000027194,149.55695180811628
100.0000000052911,177.44492795006863
100.00000005146059,197.26696292170004
100.00000033441944,213.15278729153147
100.00000163824058,226.68258341907583
100.00000647120365,238.60706480588067
100.00002152936504,249.3466919424991
100.0000622127409,259.1650791551303
100.00015978338756,268.2406890050143
100.00037134491946,276.7010978633192
100.00079223550657,284.641283188667
100.0015698461013,292.1342190508954
100.00291748383823,299.2374099453062
100.0051267975284,305.997121527523
100.00857746362752,312.45123021353027
100.01374321423225,318.63120613643775
100.02119375970865,324.56353148994333
100.0315926140679,330.27073917337356
100.04569120097807,335.7721890479795
100.0643198699039,341.08465853432125
